id,count-2033-1,count-2033-2,count-2033-3,count-2033-4,count-2033-5,count-2033-6,count-2033-7,count-2033-8,count-2033-9,count-2033-10,count-2033-11,count-2033-12,count-2034-1,count-2034-2,count-2034-3,count-2034-4,count-2034-5,count-2034-6,count-2034-7,count-2034-8,count-2034-9,count-2034-10,count-2034-11,count-2034-12,volume-2033-1,volume-2033-2,volume-2033-3,volume-2033-4,volume-2033-5,volume-2033-6,volume-2033-7,volume-2033-8,volume-2033-9,volume-2033-10,volume-2033-11,volume-2033-12,volume-2034-1,volume-2034-2,volume-2034-3,volume-2034-4,volume-2034-5,volume-2034-6,volume-2034-7,volume-2034-8,volume-2034-9,volume-2034-10,volume-2034-11,volume-2034-12
e8cf362bb4,226,355,2,4,3,3,9,10,6,14,15,10,8,15,19,8,18,11,11,8,7,11,6,8,796889,1704941,27560,39921,39333,11757,127734,155345,52054,229755,160575,66428,83318,125829,175779,77701,208872,130642,158194,104747,111721,145523,56137,74955
508864fa79,226,355,2,4,3,3,9,10,6,14,15,2,7,24,25,15,11,2,13,8,7,2,6,8,796889,1704941,27560,39921,39333,11757,127734,155345,52054,229755,160575,21886,44869,254386,184907,111477,68998,18372,81852,81725,111721,6456,56137,74955
6ef399bf15,226,355,2,4,3,3,9,10,6,14,15,2,7,24,25,1,2,7,4,2,13,4,9,6,796889,1704941,27560,39921,39333,11757,127734,155345,52054,229755,160575,21886,44869,254386,184907,6454,18496,39627,28595,13507,76279,20250,73530,37393
84a09b4188,226,355,2,4,3,3,9,5,5,15,19,11,17,13,18,8,21,15,15,6,11,19,18,13,796889,1704941,27560,39921,39333,11757,127734,111459,101455,258313,385590,256153,310348,215773,323812,110808,328630,221121,190667,95781,179491,358867,274278,213195
53b3fbeae2,226,355,2,4,3,3,9,5,5,15,42,1032,1124,1007,1035,939,1008,787,941,868,959,908,665,863,796889,1704941,27560,39921,39333,11757,127734,111459,101455,258313,205137,4882186,5144380,4779066,5102245,4838438,5163762,4446672,4892643,4189030,4524862,4221552,3755186,4588581
1893d158f6,226,355,2,2,2,1,9,5,5,1,6,8,10,3,7,8,1008,787,941,868,959,908,665,863,796889,1704941,27560,11657,6329,19900,127734,111459,101455,6453,34285,42171,52394,13321,32818,108649,5163762,4446672,4892643,4189030,4524862,4221552,3755186,4588581
1fe344adcb,226,355,2,2,2,1,9,5,5,1,6,57,55,3,7,8,1008,1,37,868,959,908,665,863,796889,1704941,27560,11657,6329,19900,127734,111459,101455,6453,34285,334002,310553,13321,32818,108649,5163762,11989,827429,4189030,4524862,4221552,3755186,4588581
ef9bc54a2d,226,355,1,6,2,4,10,11,17,20,32,31,37,49,57,51,73,67,72,84,91,97,101,96,796889,1704941,5470,25379,18376,311825,208859,213457,254954,240243,391862,318723,468705,523074,926342,559750,1076427,812872,869911,1057791,1143334,1682158,1231087,1560118
6d4b3b04af,226,355,1,6,2,4,10,11,17,73,1,31,37,49,57,51,83,108,102,91,143,139,129,115,796889,1704941,5470,25379,18376,311825,208859,213457,254954,4870201,33751,318723,468705,523074,926342,559750,840238,1171258,1118279,938348,1340803,1522398,1434891,1439709
062de5273b,226,355,1,6,2,4,10,11,17,73,1,79,116,138,288,237,183,205,159,200,184,207,143,181,796889,1704941,5470,25379,18376,311825,208859,213457,254954,4870201,33751,649056,913818,1231329,2319430,2031849,1640660,1566128,1328478,1663870,1574483,1672075,1181249,1551276
81512d8413,83,94,92,91,92,86,79,90,88,90,83,91,113,78,94,97,95,89,93,102,90,113,114,123,451281,534984,482214,511199,516907,433223,412454,481789,537782,545668,501651,581537,691673,483051,689371,579836,477509,509551,499479,489192,517846,613880,621075,627963
a47bc8fd93,83,94,92,91,92,86,79,90,88,90,83,91,113,78,94,97,95,5,31,36,40,58,29,62,451281,534984,482214,511199,516907,433223,412454,481789,537782,545668,501651,581537,691673,483051,689371,579836,477509,25423,164991,219576,241707,283234,169220,305274
2342a8e3e6,83,94,6,120,148,73,90,83,104,93,57,69,64,81,62,81,39,50,39,62,41,59,43,49,451281,534984,81460,1111194,1808201,897799,1078200,947063,943849,1031647,877637,914660,757266,1064360,787947,837132,441229,565236,496338,830281,639237,738847,588065,609921
8555962b0b,83,94,6,120,148,73,90,83,104,93,57,69,64,81,62,81,39,50,39,62,8,6,10,11,451281,534984,81460,1111194,1808201,897799,1078200,947063,943849,1031647,877637,914660,757266,1064360,787947,837132,441229,565236,496338,830281,17299,13998,19941,22153
fe1cb2e840,83,94,6,120,148,73,90,83,104,93,57,69,8,6,142,132,220,155,247,200,195,162,170,180,451281,534984,81460,1111194,1808201,897799,1078200,947063,943849,1031647,877637,914660,32834,49263,851896,944330,1711243,1323602,1841932,1745372,1835728,1533945,1779262,1746948
3008a4de59,83,94,6,120,148,73,90,83,104,93,57,69,8,6,142,132,220,155,247,456,411,444,549,793,451281,534984,81460,1111194,1808201,897799,1078200,947063,943849,1031647,877637,914660,32834,49263,851896,944330,1711243,1323602,1841932,2164276,1931899,2101643,3134178,4320534
864fca1b2c,83,94,6,120,148,17,21,15,27,29,22,15,25,18,28,28,29,26,18,37,25,35,25,26,451281,534984,81460,1111194,1808201,233015,283613,185125,388462,417686,353345,227812,369468,270676,512612,525878,565110,508437,394963,750406,538928,775898,552366,610980
f4e1e9530a,83,94,6,120,148,17,21,1,27,29,22,15,25,18,28,28,29,26,18,37,25,35,25,26,451281,534984,81460,1111194,1808201,233015,283613,39376,388462,417686,353345,227812,369468,270676,512612,525878,565110,508437,394963,750406,538928,775898,552366,610980
8ce13fda0c,2,2,5,3,2,2,2,1,27,29,1,1,2,18,1,28,29,1,18,37,1,35,25,26,15886,8768,24202,28506,16166,13692,12795,39376,388462,417686,11557,9533,13106,270676,4301,525878,565110,4301,394963,750406,4734,775898,552366,610980
d1d0f1feee,2,2,5,3,2,2,2,1,8,4,2,86,116,102,86,100,106,93,115,116,18,141,89,72,15886,8768,24202,28506,16166,13692,12795,39376,155507,63017,12407,473379,1311285,981089,497600,494119,595495,575565,730790,653489,86817,726262,459845,430344
cd1366647d,78,132,94,64,27,110,4,43,41,47,43,19,75,116,128,29,41,158,25,41,115,56,47,56,2272517,3452394,1439782,426660,856314,4037425,49876,459321,404890,380834,214673,198032,1833931,3136328,3402281,483570,1268831,4571244,302876,613808,1499047,508111,521415,537835
d474d420b3,78,132,94,64,27,110,4,43,41,47,43,19,75,1,2,7,29,45,22,15,43,18,15,11,2272517,3452394,1439782,426660,856314,4037425,49876,459321,404890,380834,214673,198032,1833931,26436,47867,342384,688052,1019915,791933,691854,1471767,1032294,773524,746916
80af9230cb,78,132,94,64,27,110,4,43,41,47,43,19,75,3,9,10,9,9,9,9,4,8,7,8,2272517,3452394,1439782,426660,856314,4037425,49876,459321,404890,380834,214673,198032,1833931,3880,11664,12552,38850,155454,86008,38826,5036,9860,8875,10146
a15e98ab87,78,9,51,68,64,70,87,80,75,82,100,130,92,90,81,99,118,90,75,89,94,76,95,125,2272517,36799,150541,284269,315583,276936,423286,335538,319450,536431,481018,628362,382741,386384,433620,438847,563890,403303,396227,426791,420214,385451,421485,590637
69821cf0e2,78,9,51,68,64,70,87,80,75,82,100,130,3,3,2,3,4,1,23,38,27,20,41,46,2272517,36799,150541,284269,315583,276936,423286,335538,319450,536431,481018,628362,16591,3675,15366,3612,18314,9418,74183,112538,934409,40393,3330497,169714
02f520d93e,78,9,51,68,64,70,87,80,75,82,100,130,3,3,2,3,4,3,3,11,3,1,41,46,2272517,36799,150541,284269,315583,276936,423286,335538,319450,536431,481018,628362,16591,3675,15366,3612,18314,16617,18439,77546,29963,2311,3330497,169714
2577b37ba1,78,9,51,68,64,70,87,80,75,82,100,130,3,3,2,3,86,111,104,145,216,168,327,206,2272517,36799,150541,284269,315583,276936,423286,335538,319450,536431,481018,628362,16591,3675,15366,3612,751479,880322,839750,1289230,1622765,1407921,2635690,1741663
99c8604dc7,1,5,10,2,64,70,87,80,75,82,100,130,4,15,4,5,86,111,104,145,216,168,327,206,4877,22632,56713,18826,315583,276936,423286,335538,319450,536431,481018,628362,21628,81515,22117,40707,751479,880322,839750,1289230,1622765,1407921,2635690,1741663
ee0e287095,1,5,10,2,64,70,87,80,75,89,1586,2009,596,116,54,7,3,6,1,12,21,127,1286,3371,4877,22632,56713,18826,315583,276936,423286,335538,319450,659593,11943040,16330200,4300780,753631,345687,32775,18205,39185,5074,75571,153888,1026979,10471551,28089152
6d829dd356,1,5,10,2,64,70,2,6,12,12,26,19,7,11,25,17,18,18,17,10,21,19,15,19,4877,22632,56713,18826,315583,276936,36003,64124,273582,186273,247800,215348,78870,158082,353982,211792,207641,194464,216543,128040,226330,197891,249677,231231
ab700009c5,45,58,62,52,44,25,84,69,94,22,8,5,7,11,25,17,18,18,17,10,21,19,15,19,176537,261628,247898,200790,195292,86239,349204,299949,373307,90047,28568,23014,78870,158082,353982,211792,207641,194464,216543,128040,226330,197891,249677,231231
3c1e9fb123,45,58,62,52,44,25,84,69,94,22,8,3,7,11,10,16,17,49,79,65,87,94,64,80,176537,261628,247898,200790,195292,86239,349204,299949,373307,90047,59839,51386,78870,158082,204107,400892,350729,631701,691870,498910,659780,946359,566527,595139
8e78c1f7f5,45,58,62,52,44,25,84,69,6,29,27,32,45,31,38,24,31,49,79,65,45,38,42,38,176537,261628,247898,200790,195292,86239,349204,299949,190972,870461,772206,892691,1292916,952417,1146978,761176,893180,631701,691870,498910,1450242,1088724,1280467,1090457
2140cd7d8f,45,58,62,52,44,1,3,8,14,14,24,20,15,19,10,18,17,20,32,26,32,21,21,15,176537,261628,247898,200790,195292,4028,17922,80828,89169,105481,133596,125820,81121,111735,54446,121321,110399,106842,177330,136262,167800,111865,144294,103684
d26e4cd2d1,45,58,62,52,44,1,3,8,14,14,19,20,15,19,10,24,123,147,141,220,303,316,229,203,176537,261628,247898,200790,195292,4028,17922,80828,89169,105481,134106,125820,81121,111735,54446,94965,405860,572529,529329,915382,1235068,1345090,960894,851769
ba8d917738,45,58,62,52,44,1,3,13,14,14,19,20,15,19,10,24,123,147,141,220,303,316,229,203,176537,261628,247898,200790,195292,4028,17922,196251,89169,105481,134106,125820,81121,111735,54446,94965,405860,572529,529329,915382,1235068,1345090,960894,851769
6f4c651e94,45,58,62,52,44,1,3,13,1,14,19,20,15,19,10,24,123,10,103,55,20,133,154,96,176537,261628,247898,200790,195292,4028,17922,196251,61758,105481,134106,125820,81121,111735,54446,94965,405860,22511,462816,261981,145124,713387,1020487,587606
9341f7eea7,45,58,62,52,44,1,3,13,2,1,16,413,234,211,261,272,153,91,209,256,59,28,54,111,176537,261628,247898,200790,195292,4028,17922,196251,20671,18988,233885,4989461,2018243,1849919,3286998,3544441,1891731,1270012,2814495,3544437,606837,252280,803553,1676080
d32eef7b99,45,58,62,52,44,1,3,13,4,1,4,7,17,18,11,272,153,3,3,4,5,1,6,111,176537,261628,247898,200790,195292,4028,17922,196251,139511,18988,108376,143286,300843,224191,179315,3544441,1891731,22086,58062,78344,93240,18795,113100,1676080
75b0bc33da,45,40,1,26,26,4,1,2,1,2,4,1,5,14,11,9,38,4,3,4,1,1,1,2,176537,1353138,51837,870934,925066,273763,45893,22014,61894,17015,108376,7941,238006,461426,179315,237677,1726195,199165,58062,78344,53493,18795,68096,58640
8ca23d4d9e,45,40,1,26,26,4,1,2,1,2,59,171,177,164,178,162,165,131,107,160,195,225,216,223,176537,1353138,51837,870934,925066,273763,45893,22014,61894,17015,271723,852681,837463,733764,846311,780810,747138,657366,464361,736937,828090,975809,927921,1088438
3347a28bfa,45,40,1,26,26,4,1,2,1,2,59,11,4,6,10,20,38,32,37,43,21,35,25,75,176537,1353138,51837,870934,925066,273763,45893,22014,61894,17015,271723,52215,29622,47104,94188,200632,431204,351453,368999,505282,192266,347531,230495,865553
edc234d09d,45,40,1,26,26,13,9,4,3,2,5,3,6,5,5,23,5,3,37,43,21,35,25,75,176537,1353138,51837,870934,925066,181273,56804,55191,24002,11080,108375,96120,110531,109397,36692,431350,105347,25322,368999,505282,192266,347531,230495,865553
4c9ebce8c3,45,40,1,26,26,1,3,4,3,2,1,3,6,5,5,23,5,3,37,43,21,32,178,29,176537,1353138,51837,870934,925066,33842,139852,55191,24002,11080,78774,96120,110531,109397,36692,431350,105347,25322,368999,505282,192266,544790,1909093,145041
d04392dbb7,45,40,1,26,26,1,3,6,3,2,1,3,6,5,5,23,5,3,37,43,21,32,178,29,176537,1353138,51837,870934,925066,33842,139852,33608,24002,11080,78774,96120,110531,109397,36692,431350,105347,25322,368999,505282,192266,544790,1909093,145041
bedaed7baa,45,40,1,26,26,1,3,6,3,2,1,3,6,5,5,23,5,3,37,2,326,685,178,29,176537,1353138,51837,870934,925066,33842,139852,33608,24002,11080,78774,96120,110531,109397,36692,431350,105347,25322,368999,3038,741145,1782362,1909093,145041
644f4b8914,266,573,575,426,305,232,262,251,288,259,414,237,289,288,300,289,256,134,139,111,172,160,210,150,2941719,5914260,5580973,3932991,3255435,2310875,2207481,2299074,2378428,2289497,3576339,2060413,2450530,2678430,2693833,2779419,2242812,1305482,1355204,1041048,1646316,1601836,1854928,1223440
ce61387781,266,573,575,426,305,232,3306,5,24,3,414,3,7,288,6,1,10,4,7,4,6,1,2,150,2941719,5914260,5580973,3932991,3255435,2310875,140727784,307629,294394,139106,3576339,95643,250771,2678430,211549,25151,311858,90266,92843,105278,178122,9055,66114,1223440
779fc27c07,266,573,575,426,305,232,3306,5,24,3,414,3,8,10,19,13,33,25,13,18,27,19,16,19,2941719,5914260,5580973,3932991,3255435,2310875,140727784,307629,294394,139106,3576339,95643,34412,33958,70733,57591,128506,98320,57723,80882,116347,68766,57536,73349
7507ab4fc0,266,573,575,426,305,232,3306,5,24,3,414,3,8,96,11,13,33,25,4,15,27,19,16,19,2941719,5914260,5580973,3932991,3255435,2310875,140727784,307629,294394,139106,3576339,95643,34412,6878307,2120416,57591,128506,98320,235490,568320,116347,68766,57536,73349
7183365b80,266,573,575,426,305,1,9,25,239,195,499,523,417,107,173,72,52,41,31,4,2,1,1,1,2941719,5914260,5580973,3932991,3255435,1859,9877,39815,382552,350684,554552,556403,464196,120880,220541,102326,53566,40529,25725,5478,1657,994,3529,3332
6ec7b50636,124,103,119,102,126,119,112,111,112,116,108,79,118,124,117,104,114,124,104,113,117,129,120,98,714226,532423,627197,533028,654783,594991,670266,645503,629808,678922,654286,468479,675636,703475,627346,602261,628543,681392,628240,733942,707714,818893,716788,568442
ce3675664d,124,103,119,102,126,119,112,13,15,30,55,36,35,33,57,37,43,46,44,48,44,53,103,105,714226,532423,627197,533028,654783,594991,670266,299005,390560,762125,1268681,1311844,651506,642474,1356572,1065284,1263940,1401571,979577,1127421,1002186,977257,2132341,2923916
765e3e8294,124,103,119,102,126,119,112,13,15,30,55,36,1,33,4,4,2,6,1,4,2,2,1,2,714226,532423,627197,533028,654783,594991,670266,299005,390560,762125,1268681,1311844,5806,642474,32932,32809,11190,41617,1634,28980,23288,21718,1498,24979
0b0ea71d37,124,103,119,102,126,119,112,13,15,30,55,36,1,33,4,4,2,6,1,3358,2,2,1,2,714226,532423,627197,533028,654783,594991,670266,299005,390560,762125,1268681,1311844,5806,642474,32932,32809,11190,41617,1634,43840305,23288,21718,1498,24979
4dfa550441,124,103,119,102,126,119,112,13,15,30,55,2,4,28,5,2,1,6,1,3358,2,10,1,2,714226,532423,627197,533028,654783,594991,670266,299005,390560,762125,1268681,67810,208290,868715,250769,79344,43583,41617,1634,43840305,23288,396717,39672,79344
163304a399,19,14,17,22,18,12,8,14,17,20,16,23,31,18,28,21,33,28,25,40,26,24,34,26,75433,71022,62945,121256,85621,93415,26807,53112,79765,101653,68941,112619,133298,99996,105848,157292,186926,201983,133950,202201,178014,114278,182953,127169
8d20721d59,19,14,38,82,102,130,125,163,150,168,178,209,190,203,200,165,178,191,186,158,149,139,142,123,75433,71022,138353,323371,464580,564951,518688,642781,639037,697114,692528,775812,762344,787351,784293,678976,785318,853812,833820,698273,681632,634267,636329,519948
51de14940a,19,14,10,28,61,44,65,76,112,101,91,98,127,118,127,105,101,96,105,87,89,91,86,101,75433,71022,64307,175372,358571,260066,373712,404509,676916,623104,610242,628335,745971,720949,776727,639507,653628,597386,717352,562238,553406,575431,512247,658558
654930c922,11013,7,10,28,1,44,65,76,112,101,91,98,127,118,127,105,101,63,20,20,15,35,20,28,148293072,176990,64307,175372,13865,260066,373712,404509,676916,623104,610242,628335,745971,720949,776727,639507,653628,704764,326682,196957,269697,458049,249554,426665
c80a0359e7,116,182,195,159,158,162,139,157,128,171,112,112,112,232,170,204,214,227,180,216,174,186,187,183,1037462,1255442,2172347,1176179,1551902,1741075,1127366,1375646,1143427,1430829,858214,845538,941788,1750632,1291767,1575654,1674524,1543758,1240159,1656967,1161305,1619219,1710823,1464192
cb1679f4be,116,182,195,159,158,162,139,157,128,171,112,112,112,232,170,204,214,227,180,216,174,186,41,56,1037462,1255442,2172347,1176179,1551902,1741075,1127366,1375646,1143427,1430829,858214,845538,941788,1750632,1291767,1575654,1674524,1543758,1240159,1656967,1161305,1619219,327435,451964
1eec3ea7b8,116,182,195,159,158,162,139,10,8,13,15,17,13,17,26,25,18,24,18,30,29,26,24,37,1037462,1255442,2172347,1176179,1551902,1741075,1127366,429647,553808,804800,975347,509905,473075,551421,1079227,585621,474463,657097,443382,911118,720815,1594283,807152,1303096
312e90b32f,116,182,195,159,158,162,139,10,8,13,15,17,13,17,346,3,1,24,18,30,29,26,24,37,1037462,1255442,2172347,1176179,1551902,1741075,1127366,429647,553808,804800,975347,509905,473075,551421,2592321,16056,1535,657097,443382,911118,720815,1594283,807152,1303096
a0293d9cf8,116,182,195,159,158,1,1,10,3,22,23,20,34,26,33,26,32,27,35,93,30,14,35,35,1037462,1255442,2172347,1176179,1551902,19237,7969,429647,16448,192019,350106,362824,618329,510682,561087,381370,494955,362542,379652,698969,435474,191408,568112,723064
5134ac7db1,104,137,123,171,103,71,79,80,128,143,121,121,132,141,170,175,146,114,109,103,175,214,210,187,416257,586523,501326,721218,413041,276767,314524,354923,510854,606763,422989,513113,533519,691970,788146,788474,666306,488375,428120,427829,744271,901423,860964,789591
98a5b35f97,104,137,123,171,103,71,79,21,15,47,39,56,55,56,62,61,69,61,88,96,84,85,78,68,416257,586523,501326,721218,413041,276767,314524,79445,56166,177892,148790,212836,209896,212337,235298,232213,258579,242914,360443,404055,348535,355581,329321,282038
